Inquiry_Date,Country,Buyer_Segment,Inq_Product_Family,Sold
2023-06-30,Brazil,Practitioner,Google Cloud Platform,0
2023-06-30,CECA,Decision Maker,Google Cloud Platform,0
2023-06-30,CECA,Practitioner,Google Cloud Platform,1
2023-06-30,Mexico,Decision Maker,Google Cloud Platform,0
2023-06-30,Chile,Practitioner,Google Cloud Platform,1
2023-06-30,Brazil,Executive,Google Cloud Platform,1
2023-06-30,Chile,Practitioner,Google Cloud Platform,1
2023-06-30,PS,Practitioner,Google Cloud Platform,0
2023-06-30,PS,Practitioner,Google Cloud Platform,0
2023-06-30,Brazil,Executive,Google Workspace,0
2023-06-30,Mexico,Executive,Google Cloud Platform,0
2023-06-30,Brazil,Practitioner,Google Cloud Platform,0
2023-06-30,Brazil,Practitioner,Google Cloud Platform,1
2023-06-30,Brazil,Practitioner,Google Workspace,0
2023-06-30,Mexico,Practitioner,Google Workspace,0
2023-06-30,Mexico,Decision Maker,Google Cloud Platform,1
2023-06-30,Rest of SOLA,Decision Maker,Google Cloud Platform,1
2023-06-30,Brazil,Practitioner,Google Cloud Platform,0
2023-06-30,Brazil,Decision Maker,Google Cloud Platform,1
2023-06-30,Brazil,Decision Maker,Google Workspace,0
2023-06-30,Brazil,Practitioner,Google Cloud Platform,1
2023-06-30,Brazil,Decision Maker,Google Cloud Platform,1
2023-06-30,Colombia,Practitioner,Google Workspace,1
2023-06-30,PS,Executive,Google Cloud Platform,1
2023-06-30,Brazil,Decision Maker,Google Workspace,0
2023-06-30,Brazil,Decision Maker,Google Cloud Platform,1
2023-06-30,PS,Practitioner,Google Cloud Platform,0
2023-06-30,Chile,Practitioner,Google Cloud Platform,0
2023-06-30,Mexico,Practitioner,Google Workspace,1
2023-06-30,Peru,Practitioner,Google Cloud Platform,0
2023-06-30,Brazil,Decision Maker,Google Cloud Platform,0
2023-06-30,Argentina,Decision Maker,Google Cloud Platform,1
2023-06-30,Mexico,Decision Maker,Google Cloud Platform,1
2023-06-30,Brazil,Practitioner,Google Cloud Platform,0
